"","Standort","Bestand","Plot","Baumart","BHD","Hoehe"
"1959","El Naranjo","8",11,"aa",84,18
"1963","El Naranjo","8",12,"aa",131,21
"1965","El Naranjo","8",12,"aa",12,3
"1970","El Naranjo","8",13,"aa",84,15
"1975","El Naranjo","8",14,"aa",17,6
"1976","El Naranjo","8",14,"aa",123,23
"1983","El Naranjo","8",15,"aa",161,23
"1985","El Naranjo","8",16,"aa",153,18
"1991","El Naranjo","8",16,"aa",24,7
"1999","El Naranjo","8",17,"aa",57,10
"2000","El Naranjo","8",18,"aa",122,21
"2001","El Naranjo","8",18,"aa",81,16
"2005","El Naranjo","8",19,"aa",39,11.5
"2014","El Naranjo","8",19,"aa",118,26
"2015","El Naranjo","8",20,"aa",6,1.8
"2035","El Naranjo","8",20,"aa",73,24
"2042","El Naranjo","8",21,"aa",12,5
"2049","El Naranjo","8",21,"aa",126,24
"2057","El Naranjo","8",22,"aa",50,13
"2062","El Naranjo","8",22,"aa",108,27
"2074","El Naranjo","8",23,"aa",108,27
"2075","El Naranjo","8",23,"aa",13,4
"2086","El Naranjo","8",24,"aa",22,11
"2094","El Naranjo","8",24,"aa",42,13
"2095","El Naranjo","8",25,"aa",8,3
"2104","El Naranjo","8",25,"aa",120,22
"2123","El Naranjo","8",26,"aa",43,17
"2127","El Naranjo","8",26,"aa",120,22
"2128","El Naranjo","8",27,"aa",150,36
"2133","El Naranjo","8",27,"aa",11,6
"2144","El Naranjo","8",28,"aa",51,14.5
"2154","El Naranjo","8",28,"aa",150,36
"2168","El Naranjo","8",29,"aa",26,5
"2171","El Naranjo","8",29,"aa",129,26
"2193","El Naranjo","8",30,"aa",83,22
"2198","El Naranjo","8",31,"aa",13,3.5
"2202","El Naranjo","8",31,"aa",134,30
"2220","El Naranjo","8",32,"aa",83,22
"2243","El Naranjo","8",33,"aa",22,15
"2248","El Naranjo","8",33,"aa",150,36
"2249","El Naranjo","8",34,"aa",87,22
"2254","El Naranjo","8",34,"aa",150,36
"2260","El Naranjo","8",35,"aa",83,36
"2265","El Naranjo","8",35,"aa",41,13.5
"2269","El Naranjo","8",36,"aa",63,11
"2277","El Naranjo","9",1,"aa",80,22
"2281","El Naranjo","9",2,"aa",176,25
"2285","El Naranjo","9",3,"aa",77,13
"2295","El Naranjo","9",4,"aa",75,10
"2307","El Naranjo","9",5,"aa",43,16
"2316","El Naranjo","9",6,"aa",64,12
"2317","El Naranjo","9",6,"aa",143,20
"2323","El Naranjo","9",7,"aa",61,16
"2326","El Naranjo","9",8,"aa",83,22
"2337","El Naranjo","9",9,"aa",61,14
"2342","El Naranjo","9",10,"aa",138,26
"2343","El Naranjo","9",10,"aa",22,5
"2360","El Naranjo","9",12,"aa",48,13
"2365","El Naranjo","9",12,"aa",17,3
"2383","El Naranjo","9",13,"aa",48,18
"2387","El Naranjo","9",14,"aa",45,12
"2389","El Naranjo","9",14,"aa",94,21
"2395","El Naranjo","9",15,"aa",61,7
"2401","El Naranjo","9",16,"aa",44,12
"2405","El Naranjo","9",16,"aa",133,18
