,Standort,Bestand,Plot,Baumart,BHD,Hoehe,BHDm,BHDmAA,Hm,HmAA,Dq,DqAA,Hq,HqAA,BHDmax,BHDmaxAA,Hmax,HmaxAA,BereichBHDAA,BereichHAA,BereichDHAA,DHmaxAA,BHDdom,BHDdomAA,Hdom,HdomAA,HdAA,GCdAA,VardAA,G,GAA,BALAA,Nlog,NlogAA,SDIAA,MH,BG,LG,RGAA,RNAA,JWBAA,JWAAA,VS,N,NAA,a,b,c,RD
135,La Fusta,1,30,aa,41,16,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,0.327392922
136,La Fusta,1,30,aa,132,32,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,1.054045504
143,La Fusta,1,31,aa,100,25,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,0.798519321
152,La Fusta,1,34,aa,146,24,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,1.165838209
155,La Fusta,1,35,aa,100,18,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,0.798519321
283,La Fusta,3,1,aa,157,23,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,1.537755613
285,La Fusta,3,2,aa,57,8,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,0.558293439
287,La Fusta,3,2,aa,38,10,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,0.372195626
288,La Fusta,3,2,aa,163,24,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,1.596523343
295,La Fusta,3,3,aa,23,9,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,0.2252763
296,La Fusta,3,3,aa,85,18,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,0.832542848
304,La Fusta,3,4,aa,70,16,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,0.685623522
305,La Fusta,3,4,aa,100,23,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,0.979462174
314,La Fusta,3,5,aa,86,20,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,0.842337469
329,La Fusta,3,8,aa,79,18,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,0.773775117
335,La Fusta,3,9,aa,56,12,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,0.548498817
356,La Fusta,3,17,aa,54,13,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,0.528909574
369,La Fusta,3,19,aa,128,20,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,1.253711582
380,La Fusta,3,20,aa,57,14,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,0.558293439
381,La Fusta,3,20,aa,128,20,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,1.253711582
388,La Fusta,3,21,aa,163,24,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,1.596523343
392,La Fusta,3,21,aa,128,20,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,1.253711582
394,La Fusta,3,22,aa,35,18,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,0.342811761
